xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
2198.37	1051.51	2.50255	2220.19	1067.04	2.52702	2209.58	1059.49	2.52182	1.14343e-05	1040.5	148.267	15.279	11.6521	0.64685	17.8576	10.831	0.795067	31.5167	11.2129	0.934571	1	10
437.398	1039.48	4.40611	442.584	1006.89	4.60223	439.73	1024.83	4.54571	0.00175925	533.5	231.38	18.2403	8.15595	0.894464	21.2628	5.82607	0.961729	38.2099	7.39485	0.981094	1	11
1078.98	927.168	3.90483	1106.64	898.463	4.02844	1091.96	913.703	3.95014	9.39989e-05	1787.5	205.664	23.1552	13.999	0.796549	23.9834	12.089	0.863671	46.2114	13.1701	0.958528	1	12
1929.32	856.761	0.732191	1898.74	886.81	0.79763	1915.08	870.753	0.774925	3.22162e-05	2261.5	239.664	25.6417	16.2483	0.773606	28.2745	13.8241	0.872326	50.5117	15.1601	0.953898	1	13
2335.38	596.779	0.00824278	2306.46	594.943	6.11113	2321.67	595.909	6.21338	0.000472649	1273	161.397	17.0408	13.6364	0.599705	18.4219	11.7881	0.768463	33.9015	12.8194	0.92575	1	14
2605.89	571.968	1.31734	2588.03	571.654	5.83621	2597.64	571.824	6.2561	0.00012465	664	118.083	12.1913	10.6512	0.486508	11.7047	9.76252	0.551664	20.9351	11.2069	0.844652	1	15
1381.57	387.09	0.0128175	1352.39	385.906	6.11805	1369.2	386.586	6.23074	0.000698554	653	296.995	15.4094	10.2605	0.746075	20.4814	10.3572	0.862717	33.8451	10.3716	0.951889	1	16
1403.05	273.068	4.63644	1408.65	239.16	4.67081	1405.69	257.083	4.56944	0.000444908	1090.5	223.924	20.5617	10.2182	0.867777	19.7156	10.4244	0.848785	39.7596	10.4103	0.965113	1	17
2362.16	2124.64	2.5252	2382.77	2131.98	2.88821	2372.48	2128.32	2.79459	4.93053e-05	745	174.167	13.4141	10.6238	0.610534	16.0751	11.1217	0.722029	26.3497	10.9799	0.909043	2	0
2278.81	1836.74	3.66112	2305.14	1819.28	3.7998	2291.88	1828.07	3.73231	4.10566e-05	1247	175.48	17.321	12.507	0.691815	20.2776	10.8051	0.846203	36.7605	11.7072	0.947932	2	1
1694.84	1715.57	2.12301	1710.54	1744.48	2.01586	1702.63	1729.93	2.06488	0.000207128	1235.5	177.238	18.5457	11.7331	0.774428	22.4913	10.0714	0.894138	38.7985	10.9441	0.959392	2	2
1925.41	1696.74	2.31578	1948.06	1721.99	2.25479	1936.91	1709.56	2.29598	0.00049577	1310.5	185.38	18.728	11.9916	0.768123	23.2086	10.5573	0.890549	39.9238	11.2814	0.959246	2	3
2739.78	1502.01	0.924775	2721.26	1502.09	5.88938	2731.28	1502.05	0.00594868	0.00014784	638.5	153.497	12.4104	11.6755	0.339009	11.1209	9.96983	0.443053	21.7215	11.2307	0.855967	2	4
1943.33	1395.07	4.84545	1927.39	1383.87	0.244097	1936.02	1389.93	5.75158	5.54376e-05	753	164.995	13.4109	11.0365	0.568109	18.0098	11.1511	0.78526	23.5656	13.7551	0.811973	2	5
1889.27	1347.45	1.53826	1908.13	1353.97	2.85053	1898.12	1350.51	2.79015	0.000113677	718	139.882	13.6664	10.1776	0.66738	17.3319	9.65277	0.830554	24.4133	11.7564	0.876416	2	6
1776.94	1301.76	2.01011	1786.69	1330.68	1.83005	1781.91	1316.5	1.89387	0.000562032	1264.5	172.752	16.9331	12.7887	0.655438	20.1865	11.3841	0.825812	35.7378	12.1214	0.940723	2	7
2569.35	1210.09	4.93217	2560.42	1175.41	5.04096	2565.1	1193.58	4.96862	0.000290636	1498	189.196	21.5832	12.6287	0.81095	21.4657	11.7273	0.837573	41.7269	12.2223	0.956139	2	8
528.041	1140.45	4.25785	542.329	1108.16	4.49619	534.306	1126.28	4.32268	0.000993224	608.5	253.179	20.4176	7.84738	0.92319	25.6666	6.55229	0.966866	41.7564	7.90952	0.981896	2	9
2223.2	1066.46	2.63605	2246.52	1078.8	2.63968	2235.06	1072.73	2.65235	1.5737e-06	1056	147.539	14.8207	12.2858	0.559301	17.5594	10.9618	0.781212	30.9945	11.6021	0.927297	2	10
441.34	1015.63	4.35639	446.968	986.877	4.64405	443.913	1002.49	4.52224	0.00148593	517.5	211.037	16.8961	7.71674	0.889612	21.0988	5.98388	0.958939	34.7102	7.35941	0.977264	2	11
1097.38	905.408	3.94862	1125.77	878.908	3.96441	1111.37	892.358	3.90648	9.16962e-06	1775	209.764	21.371	14.641	0.728461	26.463	11.8781	0.893604	45.6434	13.3774	0.956086	2	12
1903.93	879.027	0.486859	1874.71	908.866	0.828183	1890.47	892.763	0.776643	0.000261641	2365	263.706	25.6837	18.4717	0.694805	27.7107	14.3036	0.856482	49.2661	17.1194	0.937684	2	13
2304.59	594.435	0.0853324	2276.21	597.218	0.13048	2291.52	595.717	0.0992511	1.72526e-05	1216	154.912	17.4688	13.078	0.662968	17.1048	11.6468	0.732368	33.267	12.4155	0.927748	2	14
2593.17	571.183	0.707791	2573.61	572.496	5.92093	2584.38	571.774	0.0660275	0.000121992	726.5	115.497	12.3892	11.3242	0.405634	11.8455	9.93977	0.543951	22.7786	11.0694	0.873982	2	15
1346.75	380.779	6.18786	1318.68	374.174	5.86485	1333.79	377.73	6.04522	0.000459064	893.5	156.125	16.545	10.2077	0.78699	17.3065	8.48464	0.871577	33.2661	9.68991	0.956636	2	16
1404.82	271.02	1.46853	1398.81	303.986	1.45381	1401.74	287.895	1.40449	0.000132876	978.5	256.551	19.0767	10.2575	0.843137	20.0739	9.4438	0.882426	38.7862	9.87412	0.967052	2	17
